Description...,Accession,Gene_id,BT_1,BT_2,BT_3,BT_4,BT_5,BT_6,BT_7,BT_8,BT_9,BT_10,BT_11,BT_12,BT_13,BT_14,CJK_1,CJK_2,CJK_3,CJK_4,CJK_5,CJK_6,CJK_7,CJK_8,CJK_9,CJK_10,CJK_11,CJK_12,CJK_13,CJK_14,CJK_16,CJK_17,CJK_18,CJK_19,CJK_20
Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2;,Q92990|GLMN_HUMAN,CLASP2,592680,NA,NA,NA,NA,NA,NA,NA,269620,NA,NA,NA,NA,NA,NA,1213500,NA,1202800,929390,3140600,NA,NA,NA,1868500,15123000,1323300,NA,NA,671510,NA,889800,804680,NA
Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3;;;,P05204|HMGN2_HUMAN,EOGT,NA,NA,NA,NA,177890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769700,NA,1274200,NA,3721500,NA,5131300,1064400,4513900,NA,4188400,1910300,876940,NA,NA,NA,NA
Metaxin-2 OS=Homo sapiens OX=9606 GN=MTX2 PE=1 SV=1;;,O75431|MTX2_HUMAN,MIF,759260,NA,1433400,0,422840,648170,529760,745410,NA,NA,224470,NA,505960,NA,NA,NA,673270,NA,NA,NA,NA,587750,1141400,NA,NA,58962,0,2949000,2742700,NA,2203900,0,1476100
Alpha-1 3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT1 PE=1 SV=2;;;,P26572|MGAT1_HUMAN,CHMP3,0,NA,3726200,411190,377040,NA,2919900,0,1818500,0,976960,0,0,616280,7333100,875400,NA,606530,NA,1543300,NA,NA,NA,NA,NA,3278000,NA,NA,1459000,NA,538040,1992500,2414000
Tissue factor OS=Homo sapiens OX=9606 GN=F3 PE=1 SV=1;;;,P13726|TF_HUMAN,NCSTN,NA,NA,4402000,NA,NA,NA,4044800,NA,1880000,NA,828000,NA,NA,NA,5288800,NA,5068900,NA,5488500,NA,1917100,NA,8121700,NA,NA,NA,NA,NA,NA,7579900,NA,6633800,NA
Phospholipase A2 group XV OS=Homo sapiens OX=9606 GN=PLA2G15 PE=1 SV=2;;;,Q8NCC3|PAG15_HUMAN,SNRPB2,NA,NA,NA,344330,NA,225140,199220,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,2534000,NA,NA,NA,NA,0,NA,727800,NA,NA,371260,7422500,6555200,12630000
Junctional adhesion molecule A OS=Homo sapiens OX=9606 GN=F11R PE=1 SV=1;,Q9Y624|JAM1_HUMAN,SRRM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506800,134950,1144200,2435900,0,6799600,3353200,NA,2837700,7065900,0,4807500,1555300,2083600,2846800,552560,6525300,2765200,6684200
Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1;,O96019|ACL6A_HUMAN,RAB34,NA,NA,627510,NA,888870,1336500,NA,NA,350150,NA,NA,NA,569270,NA,1187500,303590,500670,411480,NA,362720,NA,NA,NA,446970,2925700,850010,505700,6681200,475710,NA,NA,NA,NA
Myosin light chain kinase  smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4;,Q15746|MYLK_HUMAN,NDUFS6,NA,838830,415030,0,NA,NA,263090,NA,0,NA,681000,NA,726150,NA,3686800,NA,NA,65231,7054900,0,7036600,NA,13517000,1382100,1576300,NA,242990,16749000,3872100,1262200,6809400,1313600,365320
Tumor necrosis factor alpha-induced protein 2 OS=Homo sapiens OX=9606 GN=TNFAIP2 PE=1 SV=2;,Q03169|TNAP2_HUMAN,VCAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170990,454290,510420,593690,NA,783840,NA,NA,NA,4724100,NA,1477400,0,1506000,3794500,0,4351400,NA,NA
Choline/ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=CEPT1 PE=1 SV=1;;;,Q9Y6K0|CEPT1_HUMAN,ACY1,0,777930,1628600,0,NA,1849500,0,NA,0,364300,NA,NA,NA,1163300,8558100,648900,5640000,NA,7854400,14164000,6529000,NA,0,5335300,NA,2841900,NA,3174900,NA,1769300,1923400,1090100,NA
Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1;;,Q8WUA2|PPIL4_HUMAN,GMPR,3572800,607930,4130200,1019000,2959900,2605000,2192800,2139600,2358500,1978600,1944900,1303000,1448700,1339600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serine incorporator 1 OS=Homo sapiens OX=9606 GN=SERINC1 PE=1 SV=1;;;,Q9NRX5|SERC1_HUMAN,ATOX1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502070,NA,NA,NA,4226700,NA,3256200,0,6007900,NA,5119400,1082500,8746800,NA,1020700,970700,509290,367420,NA,NA,NA
Protein SMG9 OS=Homo sapiens OX=9606 GN=SMG9 PE=1 SV=1;;;,Q9H0W8|SMG9_HUMAN,CRADD,NA,NA,1441600,NA,NA,NA,NA,366410,NA,1789700,NA,NA,NA,NA,6438000,956180,4024100,1849400,2620100,3321500,2747200,NA,NA,2180600,3686500,1658000,NA,NA,3487300,144470,3018000,NA,NA
Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2;;;,P35658|NU214_HUMAN,RBP1,0,NA,1433500,414230,174130,NA,0,NA,NA,NA,1228300,NA,0,NA,412710,NA,NA,NA,NA,275740,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
Syntaxin-8 OS=Homo sapiens OX=9606 GN=STX8 PE=1 SV=2;;;,Q9UNK0|STX8_HUMAN,FAM162A,NA,103850,611510,NA,NA,1334400,NA,430530,NA,NA,NA,281150,NA,NA,NA,NA,1742900,146230,NA,NA,1019600,NA,657390,NA,2611700,NA,NA,NA,NA,NA,NA,NA,NA
Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1;;;,P23921|RIR1_HUMAN,RPL36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377840,NA,NA,NA,2304800,NA,0,NA,NA,NA,0,NA,671170,NA,4345000,509050,NA,2240900,NA,NA,NA,NA,NA
Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;;,Q6ZSR9|YJ005_HUMAN,GNL1,NA,200990,857480,248130,1084700,856740,1603600,1260700,NA,341820,1319800,0,0,NA,NA,NA,609160,NA,514170,0,NA,NA,NA,495460,4019700,NA,NA,NA,NA,NA,NA,0,NA
Biglycan OS=Homo sapiens OX=9606 GN=BGN PE=1 SV=2;;,P21810|PGS1_HUMAN,AP3B2,161120000,1964600,2378100,186960000,3475600,3898600,0,NA,NA,NA,1521500,437120,127810000,NA,4280500,NA,5265300,6331400,3100000,NA,2656000,NA,44950000,NA,156840000,NA,719730,1444400,NA,NA,NA,NA,3366800
RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1;,Q9BWF3|RBM4_HUMAN,CETN2,5549700,NA,848780,NA,3316300,NA,366810,NA,403070,NA,2847300,2775800,NA,NA,NA,NA,3238000,2723400,387300,0,0,NA,5534800,NA,20714000,NA,853630,709530,5171000,1049400,NA,158190,0
Dynamin-binding protein OS=Homo sapiens OX=9606 GN=DNMBP PE=1 SV=1;,Q6XZF7|DNMBP_HUMAN,EPDR1,1341700,85432,660610,NA,647880,123810,NA,0,11839000,583750,NA,NA,NA,NA,NA,NA,3602100,3850500,NA,NA,NA,0,NA,NA,NA,NA,NA,9140500,NA,NA,5202500,NA,303240
Transgelin-3 OS=Homo sapiens OX=9606 GN=TAGLN3 PE=1 SV=2;,Q9UI15|TAGL3_HUMAN,NMT2,7646100,NA,0,7127200,8900900,4040900,9778100,8892700,NA,9291200,9908900,5578800,9944400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2;;,O60502|OGA_HUMAN,PNMA2,1382600,NA,3830800,1429000,2637600,819570,1461700,1112900,1764300,629650,1583000,673680,608760,781000,676290,353440,6334400,1295800,5543000,3255100,1034300,NA,812950,896180,7587900,NA,229940,1178400,678330,940700,1704400,1159500,2927000
Tetratricopeptide repeat protein 1 OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1;;;,Q99614|TTC1_HUMAN,AAK1,447420,353290,640530,978380,1017100,783270,NA,824310,NA,1130900,NA,505420,513670,2044300,9109700,326980,12882000,2173100,8043600,5630300,9397800,3398100,34802000,1909800,6256300,3846200,6072500,1848500,NA,5131200,9495000,4078300,6062400
28S ribosomal protein S2  mitochondrial OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1;,Q9Y399|RT02_HUMAN,PRELP,NA,NA,1103400,NA,NA,NA,NA,NA,149170,NA,NA,NA,NA,NA,0,NA,NA,NA,141500,3027900,NA,NA,NA,NA,NA,NA,1264900,NA,2469700,NA,NA,NA,675960
Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens OX=9606 GN=VPS28 PE=1 SV=1;,Q9UK41|VPS28_HUMAN,PXMP2,546200,1496800,2995400,357470,0,NA,762430,NA,NA,NA,1116600,NA,624960,NA,80903000,NA,4966500,2083600,NA,1351500,NA,NA,6353500,103280,NA,1197600,NA,5817600,2762800,NA,NA,NA,0
GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3;;;,O00178|GTPB1_HUMAN,COG5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,723990,NA,NA,NA,NA,NA,1445900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Charged multivesicular body protein 7 OS=Homo sapiens OX=9606 GN=CHMP7 PE=1 SV=1;;;,Q8WUX9|CHMP7_HUMAN,SPTBN4,NA,0,NA,NA,NA,327470,NA,NA,NA,NA,224240,NA,NA,289940,1864000,NA,1184000,NA,704620,NA,NA,NA,NA,NA,NA,NA,NA,6548000,1654000,NA,NA,NA,412940
Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1;;,Q13595|TRA2A_HUMAN,TNFRSF11B,810980,NA,NA,NA,676990,1169200,NA,364030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175000,NA,0,NA,1568500,NA,NA,NA,1078000,15451000,NA,2117900
39S ribosomal protein L48  mitochondrial OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2;;,Q96GC5|RM48_HUMAN,SLC25A22,NA,NA,NA,NA,NA,720270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137200,NA,NA,834370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622620
Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2;;;,P41236|IPP2_HUMAN,CDH2,NA,NA,NA,1062000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2486000,NA,0,NA,1055500,203040,1423700,NA,7124400,NA,1558300,NA,0,NA,740800,NA,NA
Protein phosphatase inhibitor 2 family member B OS=Homo sapiens OX=9606 GN=PPP1R2B PE=1 SV=2;;;,Q6NXS1|IPP2B_HUMAN,RAB4B,NA,NA,NA,1062000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2486000,NA,0,NA,1055500,203040,1423700,NA,7124400,NA,1558300,NA,0,NA,NA,NA,NA
Vasorin OS=Homo sapiens OX=9606 GN=VASN PE=1 SV=1;;;,Q6EMK4|VASN_HUMAN,RAB4A,2744900,NA,NA,289440,7346700,4391200,1607500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1231700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3;;;,Q9Y5K5|UCHL5_HUMAN,EXOC8,NA,NA,NA,153750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662000,393400,NA,1280600,NA,NA,184070,4795200,NA,NA,2474100,7140800,3650100,184080,8540700,NA,67221
Kinesin-like protein KIF16B OS=Homo sapiens OX=9606 GN=KIF16B PE=1 SV=2;;;,Q96L93|KI16B_HUMAN,IKBKB,NA,NA,NA,385620,30993,NA,NA,NA,NA,NA,NA,NA,195510,NA,1062500,NA,NA,NA,4673000,NA,NA,NA,NA,NA,NA,1241000,NA,NA,NA,1119600,NA,NA,NA
Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4;,P42356|PI4KA_HUMAN,ACOX1,1062700,490420,NA,789300,NA,NA,NA,359080,NA,249780,NA,324150,NA,NA,NA,NA,4213500,560140,1690800,1749600,4090500,NA,NA,1555700,NA,NA,6129900,3449400,2873400,1265500,4900200,1062800,1213700
Phospholipid phosphatase 1 OS=Homo sapiens OX=9606 GN=PLPP1 PE=1 SV=1;;;,O14494|PLPP1_HUMAN,ZPR1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,797260,4763500,382770,1435000,6430800,NA,2497800,NA,NA,NA,977980,NA,2008900,499300,1691600,1623700,NA,NA
Antiviral innate immune response receptor RIG-I OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2;;;,O95786|DDX58_HUMAN,MRPL53,NA,NA,NA,1023200,NA,NA,NA,NA,NA,NA,657520,NA,NA,NA,232570,NA,NA,NA,2288200,160630,NA,NA,NA,4393700,NA,NA,NA,2999600,907770,655130,2833300,NA,NA
Ras-related protein Rap-2b OS=Homo sapiens OX=9606 GN=RAP2B PE=1 SV=1;;;,P61225|RAP2B_HUMAN,CAPS,NA,NA,NA,NA,0,89605,84477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311730,NA,1367600,NA,NA,NA,0,1349000,945150,0,NA,NA,NA,NA,NA,NA
NADH dehydrogenase [ubiquinone] iron-sulfur protein 7  mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;;,O75251|NDUS7_HUMAN,SUN1,698720,NA,851440,0,0,1889400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,7801900,712610,NA,1152700,3409900,10355000,NA,1080300,NA,NA,NA,7290600,NA,3590900
"'""5''-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=4",Q9Y478|AAKB1_HUMAN,,NA,NA,NA,NA,1362700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5941600,1835700,NA,8597900,NA,NA,1718600,6955000,NA,NA,1554200,8752800,4564100,NA,12067000,1443400,NA
Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=2;,Q8NF37|PCAT1_HUMAN,HMGN2,1552400,1235500,1145200,2139600,1333200,2374100,1073400,2552900,930270,1087900,1262700,1065700,756050,840880,87514,NA,NA,0,0,NA,NA,NA,NA,5438600,428870,NA,NA,10992000,NA,NA,159210,NA,438610
TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1;;,Q92609|TBCD5_HUMAN,MTX2,2442600,869270,NA,2177700,3151200,3409200,1790800,NA,2145800,NA,1388300,973400,814960,NA,1750500,NA,183580,356410,0,913760,NA,NA,1339500,NA,NA,1385100,3113400,NA,NA,430820,223720,NA,954470
FERM  ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FARP1 PE=1 SV=1;;,Q9Y4F1|FARP1_HUMAN,MGAT1,474280,NA,NA,NA,NA,NA,NA,NA,5673100,NA,0,7885100,NA,NA,3578300,NA,14633000,NA,2142600,3011200,1647100,NA,3086900,7720000,2232500,NA,NA,3397200,8830900,2886900,3376100,NA,NA
3-ketodihydrosphingosine reductase OS=Homo sapiens OX=9606 GN=KDSR PE=1 SV=1;;,Q06136|KDSR_HUMAN,F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2594800,1379600,NA,2970800,NA,5980200,NA,2744700,NA,NA,NA,1908700,NA,4802800,4509700,12622000,8118500,3469500,6071900
Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2;;,Q14694|UBP10_HUMAN,PLA2G15,NA,NA,114870,1287600,1008300,NA,NA,NA,NA,NA,NA,NA,NA,NA,916500,NA,NA,458830,NA,NA,0,3447700,0,NA,NA,NA,NA,1229700,809220,NA,NA,NA,NA
Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5;;,P16083|NQO2_HUMAN,F11R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,524540,NA,1335100,1410100,0,2619300,NA,NA
Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2;;,P49321|NASP_HUMAN,ACTL6A,NA,0,228260,0,NA,971520,NA,NA,NA,NA,NA,NA,NA,NA,10523000,839770,6175700,2500600,2578800,7361900,2827300,NA,NA,NA,4609300,5176400,781600,4069600,1562500,684920,NA,NA,NA
Calcineurin subunit B type 1 OS=Homo sapiens OX=9606 GN=PPP3R1 PE=1 SV=2;;;,P63098|CANB1_HUMAN,MYLK,1874600,NA,1976300,536670,2550200,1273600,1852600,NA,1173000,NA,1450100,NA,1202700,256530,558660,NA,623680,NA,0,NA,321450,NA,0,NA,2701600,NA,1357700,NA,300720,NA,NA,NA,NA
Stonin-1 OS=Homo sapiens OX=9606 GN=STON1 PE=1 SV=2;;,Q9Y6Q2|STON1_HUMAN,TNFAIP2,NA,NA,NA,NA,NA,NA,386400,NA,183480,NA,NA,NA,NA,1023300,NA,NA,NA,1402200,NA,774240,NA,NA,NA,0,NA,2346900,NA,11818000,NA,102600,7592500,NA,NA
IST1 homolog OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1;;,P53990|IST1_HUMAN,CEPT1,0,903940,6156600,332430,327290,NA,371700,NA,NA,NA,NA,NA,NA,340030,320100,NA,NA,2922600,NA,NA,0,0,9052500,NA,9288500,2754400,0,2927800,NA,NA,4762000,NA,1832900
Choline transporter-like protein 1 OS=Homo sapiens OX=9606 GN=SLC44A1 PE=1 SV=1;,Q8WWI5|CTL1_HUMAN,PPIL4,9099400,1989200,NA,NA,6082900,233960,10644000,3663500,8387900,370950,10085000,NA,NA,NA,2064600,NA,639610,175310,NA,3643200,402480,736670,NA,NA,NA,3036300,NA,4774600,1542800,NA,NA,NA,NA
Purine nucleoside phosphorylase LACC1 OS=Homo sapiens OX=9606 GN=LACC1 PE=1 SV=1;;;,Q8IV20|LACC1_HUMAN,SERINC1,2583100,NA,NA,NA,3179400,NA,NA,NA,3576900,839650,NA,NA,2270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3859400,NA,NA,NA,NA,547700,NA,NA,NA,NA,NA
Hsp70-binding protein 1 OS=Homo sapiens OX=9606 GN=HSPBP1 PE=1 SV=2;;,Q9NZL4|HPBP1_HUMAN,SMG9,0,NA,NA,89862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449980,NA,NA,NA,NA,NA,NA,NA,NA,246630,NA,NA,0,NA,0,727500,115950
Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens OX=9606 GN=ERGIC2 PE=1 SV=2;;,Q96RQ1|ERGI2_HUMAN,NUP214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,151230,NA,1331100,NA,2471100,NA,1853400,NA,2671800,NA,466810,1154400,0,NA,586180,2475000,773400,2072000
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3;;;,O95168|NDUB4_HUMAN,STX8,1558900,1198300,1748000,2224800,931170,NA,1208800,NA,813820,676080,NA,860160,NA,NA,127000000,226720,10851000,562870,16939000,18646000,4848000,NA,5092400,4015600,12609000,7367200,5485800,9252700,3603100,1570200,2879600,NA,1706400
Ras-related protein Rap-2a OS=Homo sapiens OX=9606 GN=RAP2A PE=1 SV=1;;;,P10114|RAP2A_HUMAN,RRM1,NA,NA,NA,303450,NA,635730,NA,NA,NA,NA,NA,NA,NA,624960,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,554020,NA,1139900,NA,NA,NA,NA,NA
Arf-GAP with SH3 domain  ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ASAP2 PE=1 SV=3;,O43150|ASAP2_HUMAN,nan,74889,NA,NA,NA,NA,NA,NA,NA,NA,76110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316410,645900,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Reticulon-2 OS=Homo sapiens OX=9606 GN=RTN2 PE=1 SV=1;;;,O75298|RTN2_HUMAN,BGN,NA,NA,NA,NA,NA,634790,NA,NA,NA,2312300,NA,NA,NA,NA,5005600,NA,3734200,710120,3348900,0,NA,NA,NA,NA,NA,4297800,NA,1011600,0,2848400,995300,1728900,637260
Tumor protein D53 OS=Homo sapiens OX=9606 GN=TPD52L1 PE=1 SV=1;;,Q16890|TPD53_HUMAN,RBM4,2131700,NA,0,NA,3566700,NA,NA,NA,NA,NA,NA,NA,NA,NA,2588700,NA,5321700,NA,5548400,1749500,5583000,NA,6652000,2792200,5072800,NA,3123900,NA,NA,764850,918360,NA,1292600
Ras-related protein Rab-6D OS=Homo sapiens OX=9606 GN=RAB6D PE=2 SV=1;;,Q53S08|RAB6D_HUMAN,DNMBP,3937000,NA,3836000,0,3035500,4437200,3707900,2332000,1705700,2279300,3603500,2010300,2607000,2310400,1176600,506560,NA,2240800,NA,4050300,814710,933920,1763400,6201400,11906000,3849300,3278900,9481400,4669000,3884200,5483800,NA,7707000
Ras-related protein Rab-6C OS=Homo sapiens OX=9606 GN=RAB6C PE=1 SV=2;;,Q9H0N0|RAB6C_HUMAN,TAGLN3,3937000,NA,3836000,0,3035500,4437200,3707900,2332000,1705700,2279300,3603500,2010300,2607000,2310400,1176600,506560,NA,2240800,NA,4050300,814710,933920,1763400,6201400,11906000,3849300,3278900,9481400,4669000,3884200,5483800,NA,7707000
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens OX=9606 GN=PPP2R5C PE=1 SV=3;,Q13362|2A5G_HUMAN,OGA,NA,940350,494270,NA,NA,NA,605720,NA,NA,NA,NA,NA,NA,NA,1223800,NA,2487200,810150,1231600,192400,1780000,NA,0,NA,4322400,NA,0,NA,NA,716380,730260,147800,383850
Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2;,O95197|RTN3_HUMAN,TTC1,2222700,230370,3308800,1674100,2188000,1717400,4775600,2392500,832100,1516900,1183000,408480,4944800,2637000,10691000,0,NA,384640,0,7807900,4045400,4669900,15859000,9750400,11540000,5691700,10310000,8537900,12397000,10761000,5931800,5583700,5134000
Echinoderm microtubule-associated protein-like 1 OS=Homo sapiens OX=9606 GN=EML1 PE=1 SV=3;;,O00423|EMAL1_HUMAN,MRPS2,NA,NA,NA,NA,NA,779940,NA,NA,NA,NA,NA,1423300,NA,159800,4670600,NA,0,1353000,250010,3161800,2864500,916410,NA,2076100,2518200,4868700,NA,1658800,NA,266490,1291900,NA,NA
Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2;;;,P05155|IC1_HUMAN,VPS28,NA,NA,NA,NA,NA,NA,203350,1026400,NA,NA,NA,NA,NA,NA,NA,0,1939300,2800200,NA,0,NA,NA,0,5284400,NA,NA,255060,13091000,4369900,585480,NA,NA,NA
Glutathione peroxidase 7 OS=Homo sapiens OX=9606 GN=GPX7 PE=1 SV=1;;;,Q96SL4|GPX7_HUMAN,GTPBP1,152000,167890,NA,4706700,NA,NA,NA,3301000,NA,NA,NA,NA,NA,NA,330930,995700,1048900,87033,1868700,6557700,NA,1667800,0,NA,NA,2496800,NA,6392400,NA,NA,NA,833920,NA
NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2;;;,Q9GZT8|NIF3L_HUMAN,CHMP7,391410,NA,61734,251420,525930,405570,NA,425430,NA,152460,NA,299500,6879000,7005500,NA,612140,1736700,0,661780,2806600,356560,NA,307690,0,2222900,1658400,NA,13075000,NA,515510,1209100,295450,1158200
Bcl-2-like protein 1 OS=Homo sapiens OX=9606 GN=BCL2L1 PE=1 SV=1;;;,Q07817|B2CL1_HUMAN,TRA2A,369070,NA,0,NA,291270,864980,592290,683070,NA,NA,475790,276550,686780,NA,NA,NA,NA,318400,NA,1505400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Protein cornichon homolog 4 OS=Homo sapiens OX=9606 GN=CNIH4 PE=1 SV=1;;;,Q9P003|CNIH4_HUMAN,MRPL48,1226400,NA,1178100,1778600,NA,2246300,1774800,2319600,682420,0,737130,NA,NA,NA,NA,NA,5002300,3852200,NA,9156200,NA,780000,8432400,12177000,NA,2337800,NA,6599700,3718600,4311900,6585200,1544300,2977900
Immunity-related GTPase family Q protein OS=Homo sapiens OX=9606 GN=IRGQ PE=1 SV=1;;,Q8WZA9|IRGQ_HUMAN,PPP1R2,1660100,NA,4661800,NA,2988400,NA,NA,NA,NA,1192600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468700,NA,NA,NA,115200,346380,0,NA,NA,93065
Aquaporin-1 OS=Homo sapiens OX=9606 GN=AQP1 PE=1 SV=3;;,P29972|AQP1_HUMAN,PPP1R2B,NA,1713500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92249,NA,NA,NA,NA,NA,1739100,0,149210,NA,NA,2161700,NA,NA,NA,NA,NA,NA,0,2198600
Arylamine N-acetyltransferase 1 OS=Homo sapiens OX=9606 GN=NAT1 PE=1 SV=2;;;,P18440|ARY1_HUMAN,VASN,NA,NA,NA,874530,NA,536180,NA,751330,518170,638910,NA,567870,NA,0,2172500,304920,NA,364710,780370,1300200,NA,NA,NA,2254000,NA,NA,NA,1687500,1293200,NA,2093800,NA,764310
Collagen triple helix repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=CTHRC1 PE=1 SV=1;;;,Q96CG8|CTHR1_HUMAN,UCHL5,NA,2898800,NA,NA,NA,8038700,NA,NA,NA,NA,NA,2498300,NA,NA,NA,NA,NA,20391000,NA,NA,NA,1315100,NA,2223900,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poliovirus receptor OS=Homo sapiens OX=9606 GN=PVR PE=1 SV=2;;;,P15151|PVR_HUMAN,KIF16B,2643800,NA,8844300,NA,1450400,NA,3324900,NA,0,0,7754900,NA,2682500,NA,NA,NA,4992300,NA,7766200,NA,10614000,3125600,16797000,2078700,11108000,NA,NA,NA,1286300,2003200,1663100,11596000,3344000
Protoporphyrinogen oxidase OS=Homo sapiens OX=9606 GN=PPOX PE=1 SV=1;;,P50336|PPOX_HUMAN,PI4KA,NA,NA,464810,498820,353610,690710,605270,597890,NA,NA,1972900,547550,NA,435820,5627500,NA,7202400,6083900,NA,19023000,NA,NA,NA,10849000,4044700,4432800,1975100,5877900,6186800,2471800,6592900,74645,2057600
